run_id,scenario_id,domain,kelompok,timestamp_start,timestamp_end,latency_ms,status,expected,actual,http_status,error_message,nim,nina,student_name,reservation_id,cid,file_size_bytes,tx_hash,block_number,block_timestamp,token_id,gas_limit,gas_used,revert_reason,registry_status,blockchain_status,sia_status,mock_pisn_status,final_verification,verification_mode,notes
1,F01,integrasi,alur_penuh,2026-08-08T21:01:52.890Z,2026-08-08T21:01:52.890Z,0,pass,data masuk PDDikti,sudah tercatat di PDDikti,,,20210005,,Zulfa Situmorang,,,,,,,,,,,,,eligible,,,,run=alur-penuh-auto29-retry-nim05-20260809; resume=already_reported
2,F02,integrasi,alur_penuh,2026-08-08T21:01:52.891Z,2026-08-08T21:01:52.891Z,0,pass,status eligible,eligible,,,20210005,,Zulfa Situmorang,,,,,,,,,,,,,,eligible,,,run=alur-penuh-auto29-retry-nim05-20260809; resume=already_eligible
3,F03,integrasi,alur_penuh,2026-08-08T21:01:52.892Z,2026-08-08T21:01:52.909Z,17,pass,NINA terbit,040410582605004,,,20210005,040410582605004,Zulfa Situmorang,5,,,,,,,,,,aktif,,,,,,run=alur-penuh-auto29-retry-nim05-20260809; resume=already_has_nina
4,F04,kriptografi,alur_penuh,2026-08-08T21:01:52.909Z,2026-08-08T21:01:53.627Z,718,pass,PDF terbentuk,PDF terbentuk,,,20210005,040410582605004,Zulfa Situmorang,,,,,,,,,,,,,,,,,run=alur-penuh-auto29-retry-nim05-20260809; pdf=generated-ijazah/ijazah-31-1786222913583.pdf
5,F05,kriptografi,alur_penuh,2026-08-08T21:01:53.628Z,2026-08-08T21:02:03.011Z,9383,pass,CID diperoleh,bafkreic7t446vokusyos5d3xrsrorpm5d7x3n7luremuqtlrcbgnumgvg4,,,20210005,040410582605004,Zulfa Situmorang,,bafkreic7t446vokusyos5d3xrsrorpm5d7x3n7luremuqtlrcbgnumgvg4,,,,,,,,,,,,,,,run=alur-penuh-auto29-retry-nim05-20260809
6,F07,smart_contract,alur_penuh,2026-08-08T21:02:03.012Z,2026-08-08T21:02:05.319Z,2307,pass,token terbit,token 1030,,,20210005,040410582605004,Zulfa Situmorang,,bafkreic7t446vokusyos5d3xrsrorpm5d7x3n7luremuqtlrcbgnumgvg4,,0x2c3d8c2c77440a496529cb75e1b8766306da392373f3506357b6007f2167cb45,,,1030,,,,,aktif,,,,,run=alur-penuh-auto29-retry-nim05-20260809
7,F08,verifikasi,alur_penuh,2026-08-08T21:02:05.319Z,2026-08-08T21:02:06.528Z,1209,pass,valid,valid,,,20210005,040410582605004,Zulfa Situmorang,,bafkreic7t446vokusyos5d3xrsrorpm5d7x3n7luremuqtlrcbgnumgvg4,,,,,1030,,,,,,,,valid,live,run=alur-penuh-auto29-retry-nim05-20260809; sivil=http://localhost:8001/verifikasi?nina=040410582605004&nama=Zulfa%20Situmorang
