case_id,nim,duplicate_nina,source_token_id,expected,actual,status,revert_reason,tx_hash,receipt_status,gas_used,block_number,next_token_before,next_token_after,pin_added,notes
DUP-NINA-1,20210211,040410582605000,1001,transaksi direvert; token dan pin tidak bertambah,receipt status 0; state kontrak tetap,pass,NINA ini sudah memiliki ijazah aktif,0x5b400c5f4fae284890b35b886628da91c26df590cc965bd14b01028887c84d77,0,55160,44438392,1201,1201,0,transaksi nyata; CID sumber aktif dipakai ulang tanpa unggahan IPFS
DUP-NINA-2,20210212,040410582605030,1031,transaksi direvert; token dan pin tidak bertambah,receipt status 0; state kontrak tetap,pass,NINA ini sudah memiliki ijazah aktif,0x5ccac529b10fb746b7a791c56681f88ff40e9060dc7cb3cdfd47619540b168fd,0,55148,44438397,1201,1201,0,transaksi nyata; CID sumber aktif dipakai ulang tanpa unggahan IPFS
