run_id,scenario_id,domain,kelompok,timestamp_start,timestamp_end,latency_ms,status,expected,actual,http_status,error_message,nim,nina,student_name,reservation_id,cid,file_size_bytes,tx_hash,block_number,block_timestamp,token_id,gas_limit,gas_used,revert_reason,registry_status,blockchain_status,sia_status,mock_pisn_status,final_verification,verification_mode,notes
13,V01,verifikasi,alur_penuh,2026-08-09T08:12:42.973Z,2026-08-09T08:12:44.601Z,1628,pass,valid,valid,200,,20210022,040410582605021,,,,,,,,1021,,,,aktif,aktif,,,valid,live,run=latensi-final; sivilStatus=found
14,V01,verifikasi,alur_penuh,2026-08-09T08:12:44.602Z,2026-08-09T08:12:45.761Z,1159,pass,valid,valid,200,,20210023,040410582605022,,,,,,,,1022,,,,aktif,aktif,,,valid,live,run=latensi-final; sivilStatus=found
15,V01,verifikasi,alur_penuh,2026-08-09T08:12:45.762Z,2026-08-09T08:12:46.874Z,1112,pass,valid,valid,200,,20210024,040410582605023,,,,,,,,1023,,,,aktif,aktif,,,valid,live,run=latensi-final; sivilStatus=found
16,V01,verifikasi,alur_penuh,2026-08-09T08:12:46.875Z,2026-08-09T08:12:48.546Z,1671,pass,valid,valid,200,,20210025,040410582605024,,,,,,,,1024,,,,aktif,aktif,,,valid,live,run=latensi-final; sivilStatus=found
17,V01,verifikasi,alur_penuh,2026-08-09T08:12:48.546Z,2026-08-09T08:12:49.614Z,1068,pass,valid,valid,200,,20210026,040410582605025,,,,,,,,1025,,,,aktif,aktif,,,valid,live,run=latensi-final; sivilStatus=found
18,V01,verifikasi,alur_penuh,2026-08-09T08:12:49.615Z,2026-08-09T08:12:50.504Z,889,pass,valid,valid,200,,20210027,040410582605026,,,,,,,,1026,,,,aktif,aktif,,,valid,live,run=latensi-final; sivilStatus=found
19,V01,verifikasi,alur_penuh,2026-08-09T08:12:50.505Z,2026-08-09T08:12:51.825Z,1320,pass,valid,valid,200,,20210028,040410582605027,,,,,,,,1027,,,,aktif,aktif,,,valid,live,run=latensi-final; sivilStatus=found
20,V01,verifikasi,alur_penuh,2026-08-09T08:12:51.825Z,2026-08-09T08:12:52.727Z,902,pass,valid,valid,200,,20210029,040410582605028,,,,,,,,1028,,,,aktif,aktif,,,valid,live,run=latensi-final; sivilStatus=found
21,V01,verifikasi,alur_penuh,2026-08-09T08:12:52.728Z,2026-08-09T08:12:53.777Z,1049,pass,valid,valid,200,,20210030,040410582605029,,,,,,,,1029,,,,aktif,aktif,,,valid,live,run=latensi-final; sivilStatus=found
22,V01,verifikasi,alur_penuh,2026-08-09T08:12:53.777Z,2026-08-09T08:12:55.385Z,1608,pass,valid,valid,200,,20210031,040410582605030,,,,,,,,1031,,,,aktif,aktif,,,valid,live,run=latensi-final; sivilStatus=found
